video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g3_video_011,0.493126,0.251683,0.961609,0.0,0.0,57.163122,0.992999,0.070768,0.968814,0.98888,0.070768,5.632888090909091,c3_osc_class_windowed_select_72
g3_video_012,0.731141,0.207982,0.961609,1.0,0.0,72.726928,0.968336,0.032648,0.968814,0.955842,0.032648,7.14417709090909,c3_osc_class_windowed_select_72
g3_video_013,0.648427,0.219445,0.961609,1.0,0.0,74.379405,0.950733,0.027552,0.968814,0.932344,0.027552,7.28326190909091,c3_osc_class_windowed_select_72
g3_video_014,0.587095,0.214459,0.961609,0.444444,0.0,72.843852,0.985183,0.021753,0.968814,0.977464,0.021753,7.0933114545454545,c3_osc_class_windowed_select_72
g3_video_015,0.536387,0.194634,0.961609,0.0,0.0,70.991994,0.990209,0.07307,0.968814,0.984712,0.07307,6.888590818181817,c3_osc_class_windowed_select_72
g3_video_016,0.689306,0.21026,0.961609,1.0,0.0,65.523131,0.969152,0.016222,0.968814,0.95133,0.016222,6.482367818181817,c3_osc_class_windowed_select_72
g3_video_017,0.656351,0.235455,0.961609,1.0,0.0,76.929974,0.965252,0.048632,0.968814,0.942433,0.048632,7.523377454545454,c3_osc_class_windowed_select_72
g3_video_018,0.747864,0.244063,0.961609,1.0,0.0,68.955641,0.985291,0.040594,0.968814,0.977204,0.040594,6.811061272727272,c3_osc_class_windowed_select_72
g3_video_019,0.791608,0.210022,0.961609,0.0,0.0,79.536179,0.991676,0.096702,0.968814,0.986135,0.096702,7.694495181818181,c3_osc_class_windowed_select_72
g3_video_020,0.552217,0.225675,0.961609,0.0,0.0,74.204578,0.984734,0.035852,0.968814,0.972203,0.035852,7.176503090909091,c3_osc_class_windowed_select_72
g3_video_021,0.605847,0.219767,0.961609,0.777778,0.0,75.4328,0.966911,0.052006,0.968814,0.95587,0.052006,7.363037090909091,c3_osc_class_windowed_select_72
g3_video_022,0.583425,0.226601,0.961609,0.777778,0.0,77.935006,0.978798,0.059039,0.968814,0.973323,0.059039,7.593039272727271,c3_osc_class_windowed_select_72
g3_video_023,0.547595,0.199127,0.961609,0.444444,0.0,68.333175,0.977838,0.033423,0.968814,0.962933,0.033423,6.678398272727273,c3_osc_class_windowed_select_72
g3_video_024,0.60544,0.209435,0.961609,1.0,0.0,71.281276,0.943631,0.038898,0.968814,0.917271,0.038898,6.996842909090909,c3_osc_class_windowed_select_72
g4_video_000,0.608901,0.204411,0.961256,0.888889,0.0,58.762957,0.980048,0.098752,0.96989,0.957698,0.098752,5.866504909090909,c4_osc_class_global_select_72
g4_video_001,0.619897,0.195389,0.961256,0.0,0.0,78.616201,0.989125,0.069331,0.96989,0.980933,0.069331,7.58830481818182,c4_osc_class_global_select_72
g4_video_002,0.663843,0.205669,0.961256,1.0,0.0,72.649568,0.986206,0.077187,0.96989,0.977161,0.077187,7.142542454545454,c4_osc_class_global_select_72
g4_video_003,0.551562,0.215871,0.961256,0.333333,0.0,75.802135,0.985655,0.121821,0.96989,0.975503,0.121821,7.3671679090909095,c4_osc_class_global_select_72
g4_video_004,0.681703,0.219262,0.961256,0.333333,0.0,69.236616,0.987805,0.020047,0.96989,0.983876,0.020047,6.764894090909092,c4_osc_class_global_select_72
g4_video_005,0.677553,0.225104,0.961256,0.111111,0.0,78.021554,0.977416,0.057533,0.96989,0.960082,0.057533,7.54718472727273,c4_osc_class_global_select_72
g4_video_006,0.538165,0.256683,0.961256,0.444444,0.0,70.735952,0.983871,0.094621,0.96989,0.977307,0.094621,6.914255454545454,c4_osc_class_global_select_72
g4_video_007,0.597416,0.223967,0.961256,0.0,0.0,76.553427,0.984725,0.071648,0.96989,0.972909,0.071648,7.400626,c4_osc_class_global_select_72
g4_video_008,0.686483,0.230973,0.961256,0.111111,0.0,78.393915,0.994737,0.036349,0.96989,0.992979,0.036349,7.583094727272729,c4_osc_class_global_select_72
g4_video_009,0.56497,0.23167,0.961256,0.0,0.0,80.276796,0.985049,0.047868,0.96989,0.97688,0.047868,7.732931545454545,c4_osc_class_global_select_72
g4_video_010,0.647847,0.231677,0.961256,0.111111,0.0,74.901893,0.990023,0.039039,0.96989,0.986693,0.039039,7.26167890909091,c4_osc_class_global_select_72
g4_video_011,0.492876,0.251888,0.961256,0.0,0.0,57.186227,0.992991,0.070688,0.96989,0.988878,0.070688,5.635034727272727,c4_osc_class_global_select_72
g4_video_012,0.730419,0.207793,0.961256,1.0,0.0,72.770491,0.968361,0.032505,0.96989,0.95585,0.032505,7.148097272727274,c4_osc_class_global_select_72
g4_video_013,0.648848,0.219883,0.961256,1.0,0.0,74.391248,0.950692,0.027472,0.96989,0.932358,0.027472,7.284465363636365,c4_osc_class_global_select_72
g4_video_014,0.585965,0.215248,0.961256,0.555556,0.0,72.883596,0.985197,0.021849,0.96989,0.977456,0.021849,7.107078363636365,c4_osc_class_global_select_72
g4_video_015,0.534964,0.194568,0.961256,0.0,0.0,70.971235,0.990203,0.072972,0.96989,0.98471,0.072972,6.886615454545453,c4_osc_class_global_select_72
g4_video_016,0.687048,0.210459,0.961256,1.0,0.0,65.464263,0.969188,0.016455,0.96989,0.951335,0.016455,6.476940818181817,c4_osc_class_global_select_72
g4_video_017,0.656698,0.235486,0.961256,1.0,0.0,76.930041,0.965258,0.0493,0.96989,0.942431,0.0493,7.523605454545457,c4_osc_class_global_select_72
g4_video_018,0.748703,0.244046,0.961256,1.0,0.0,68.976893,0.98529,0.040515,0.96989,0.977204,0.040515,6.813119272727274,c4_osc_class_global_select_72
g4_video_019,0.792348,0.210275,0.961256,0.0,0.0,79.747868,0.99175,0.093261,0.96989,0.986243,0.093261,7.713286545454546,c4_osc_class_global_select_72
g4_video_020,0.550724,0.226196,0.961256,0.0,0.0,74.033964,0.985152,0.033698,0.96989,0.972809,0.033698,7.160671545454545,c4_osc_class_global_select_72
g4_video_021,0.604597,0.219837,0.961256,0.777778,0.0,75.453129,0.966933,0.05182,0.96989,0.955872,0.05182,7.3648120000000015,c4_osc_class_global_select_72
g4_video_022,0.582546,0.226776,0.961256,0.888889,0.0,77.931611,0.978791,0.05903,0.96989,0.973326,0.05903,7.6028313636363665,c4_osc_class_global_select_72
g4_video_023,0.547026,0.19932,0.961256,0.444444,0.0,68.33171,0.977853,0.033596,0.96989,0.962924,0.033596,6.678328636363637,c4_osc_class_global_select_72
g4_video_024,0.606378,0.209313,0.961256,1.0,0.0,71.206649,0.943657,0.038866,0.96989,0.917267,0.038866,6.990194727272728,c4_osc_class_global_select_72
