video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g2_video_018,0.806818,0.246789,0.967496,0.555556,0.0,77.188131,0.992771,0.041853,0.0,0.976903,0.988946,0.041853,6.900593000000001,k2_selfforcing_dynamic21_baseline
g2_video_019,0.779802,0.203264,0.967496,0.0,0.0,78.513222,0.993677,0.079875,0.0,0.976903,0.985159,0.079875,6.964939416666667,k2_selfforcing_dynamic21_baseline
g2_video_020,0.520655,0.21005,0.967496,0.222222,0.0,75.692588,0.989497,0.024491,0.0,0.976903,0.978877,0.024491,6.717272499999999,k2_selfforcing_dynamic21_baseline
g2_video_021,0.688124,0.209861,0.967496,1.0,0.0,73.987061,0.981696,0.005348,0.0,0.976903,0.956323,0.005348,6.648179999999999,k2_selfforcing_dynamic21_baseline
g2_video_022,0.56785,0.213089,0.967496,0.333333,0.0,78.82846,0.98923,0.041281,0.0,0.976903,0.987973,0.041281,6.995574666666666,k2_selfforcing_dynamic21_baseline
g2_video_023,0.611548,0.199399,0.967496,0.333333,0.0,67.140718,0.994613,0.010683,0.0,0.976903,0.990514,0.010683,6.019657500000001,k2_selfforcing_dynamic21_baseline
g2_video_024,0.612486,0.212581,0.967496,1.0,0.0,69.726762,0.957018,0.056886,0.0,0.976903,0.904983,0.056886,6.2893334166666675,k2_selfforcing_dynamic21_baseline
g3_video_000,0.615405,0.203014,0.969377,0.111111,0.0,61.793044,0.985867,0.093552,0.0,0.979917,0.969865,0.093552,5.5678920000000005,k3_sta_posneg_osc_phase6_tail4
g3_video_001,0.642059,0.198788,0.969377,0.111111,0.0,75.352828,0.991741,0.060489,0.0,0.979917,0.987217,0.060489,6.696168000000001,k3_sta_posneg_osc_phase6_tail4
g3_video_002,0.701827,0.201664,0.969377,0.666667,0.0,74.000871,0.991792,0.064042,0.0,0.979917,0.985136,0.064042,6.635444583333334,k3_sta_posneg_osc_phase6_tail4
g3_video_003,0.611336,0.199353,0.969377,0.111111,0.0,75.651595,0.988552,0.096401,0.0,0.979917,0.974726,0.096401,6.72323075,k3_sta_posneg_osc_phase6_tail4
g3_video_004,0.662977,0.215544,0.969377,0.0,0.0,67.775699,0.987922,0.021337,0.0,0.979917,0.984723,0.021337,6.051569416666667,k3_sta_posneg_osc_phase6_tail4
g3_video_005,0.69397,0.228327,0.969377,0.222222,0.0,77.18769,0.987644,0.055255,0.0,0.979917,0.980373,0.055255,6.863335833333334,k3_sta_posneg_osc_phase6_tail4
g3_video_006,0.55448,0.254492,0.969377,0.0,0.0,65.994584,0.992499,0.079091,0.0,0.979917,0.989912,0.079091,5.9077869166666686,k3_sta_posneg_osc_phase6_tail4
g3_video_007,0.569441,0.216493,0.969377,0.0,0.0,76.367086,0.991014,0.061003,0.0,0.979917,0.984498,0.061003,6.766652666666668,k3_sta_posneg_osc_phase6_tail4
g3_video_008,0.660917,0.234651,0.969377,0.0,0.0,77.493783,0.996621,0.034041,0.0,0.979917,0.997009,0.034041,6.8666964166666675,k3_sta_posneg_osc_phase6_tail4
g3_video_009,0.622958,0.19222,0.969377,0.0,0.0,73.615228,0.992999,0.041532,0.0,0.979917,0.990451,0.041532,6.5371844999999995,k3_sta_posneg_osc_phase6_tail4
g3_video_010,0.656012,0.219753,0.969377,0.0,0.0,67.519118,0.992057,0.030027,0.0,0.979917,0.990718,0.030027,6.032250500000001,k3_sta_posneg_osc_phase6_tail4
g3_video_011,0.529862,0.268663,0.969377,0.0,0.0,69.531685,0.996148,0.080444,0.0,0.979917,0.995956,0.080444,6.202708000000001,k3_sta_posneg_osc_phase6_tail4
g3_video_012,0.792947,0.198748,0.969377,0.777778,0.0,60.132897,0.978869,0.019303,0.0,0.979917,0.968507,0.019303,5.486470499999999,k3_sta_posneg_osc_phase6_tail4
g3_video_013,0.679902,0.197991,0.969377,0.333333,0.0,75.9542,0.986304,0.065399,0.0,0.979917,0.977348,0.065399,6.767430833333335,k3_sta_posneg_osc_phase6_tail4
g3_video_014,0.572933,0.212719,0.969377,0.222222,0.0,70.778308,0.991315,0.040951,0.0,0.979917,0.988057,0.040951,6.316395833333334,k3_sta_posneg_osc_phase6_tail4
g3_video_015,0.517936,0.186442,0.969377,0.0,0.0,75.177591,0.988189,0.059896,0.0,0.979917,0.980771,0.059896,6.6600012500000005,k3_sta_posneg_osc_phase6_tail4
g3_video_016,0.748293,0.216323,0.969377,0.333333,0.0,71.948956,0.983081,0.019413,0.0,0.979917,0.973525,0.019413,6.432635916666666,k3_sta_posneg_osc_phase6_tail4
g3_video_017,0.62364,0.220193,0.969377,1.0,0.0,72.72458,0.967561,0.043198,0.0,0.979917,0.944948,0.043198,6.543051000000001,k3_sta_posneg_osc_phase6_tail4
g3_video_018,0.783812,0.243332,0.969377,1.0,0.0,77.178165,0.994232,0.045992,0.0,0.979917,0.992389,0.045992,6.936100666666667,k3_sta_posneg_osc_phase6_tail4
g3_video_019,0.788787,0.190893,0.969377,0.0,0.0,77.980667,0.99098,0.077711,0.0,0.979917,0.983346,0.077711,6.919949083333331,k3_sta_posneg_osc_phase6_tail4
g3_video_020,0.568495,0.221716,0.969377,0.0,0.0,74.173041,0.989289,0.034746,0.0,0.979917,0.981096,0.034746,6.5793685833333315,k3_sta_posneg_osc_phase6_tail4
g3_video_021,0.71757,0.211477,0.969377,0.222222,0.0,79.956838,0.98899,0.009413,0.0,0.979917,0.980397,0.009413,7.087134499999999,k3_sta_posneg_osc_phase6_tail4
g3_video_022,0.588619,0.220854,0.969377,0.333333,0.0,78.834388,0.98745,0.043969,0.0,0.979917,0.985336,0.043969,6.9989343333333345,k3_sta_posneg_osc_phase6_tail4
g3_video_023,0.592108,0.200781,0.969377,0.111111,0.0,67.44143,0.992455,0.007856,0.0,0.979917,0.987411,0.007856,6.024191833333334,k3_sta_posneg_osc_phase6_tail4
g3_video_024,0.659366,0.200955,0.969377,1.0,0.0,76.069402,0.971026,0.029908,0.0,0.979917,0.949529,0.029908,6.821615666666666,k3_sta_posneg_osc_phase6_tail4
g4_video_000,0.603367,0.20368,0.963385,1.0,0.0,61.111779,0.984636,0.103063,0.0,0.975046,0.948821,0.103063,5.58307,k4_dynamic_sink1_af_quality
g4_video_001,0.649819,0.219359,0.963385,0.555556,0.0,73.655087,0.989618,0.079355,0.0,0.975046,0.976321,0.079355,6.5952417500000005,k4_dynamic_sink1_af_quality
g4_video_002,0.698078,0.20142,0.963385,0.666667,0.0,75.391684,0.991696,0.058058,0.0,0.975046,0.980192,0.058058,6.748690333333335,k4_dynamic_sink1_af_quality
g4_video_003,0.583306,0.20094,0.963385,0.222222,0.0,74.412287,0.991232,0.078598,0.0,0.975046,0.97224,0.078598,6.623154500000001,k4_dynamic_sink1_af_quality
g4_video_004,0.70613,0.215923,0.963385,0.111111,0.0,65.145384,0.991126,0.022889,0.0,0.975046,0.987111,0.022889,5.845082833333335,k4_dynamic_sink1_af_quality
g4_video_005,0.677662,0.227533,0.963385,0.888889,0.0,77.419476,0.987694,0.052683,0.0,0.975046,0.974482,0.052683,6.934961083333334,k4_dynamic_sink1_af_quality
g4_video_006,0.56375,0.2582,0.963385,0.333333,0.0,68.235225,0.992786,0.087965,0.0,0.975046,0.986927,0.087965,6.123715166666666,k4_dynamic_sink1_af_quality
g4_video_007,0.589281,0.216074,0.963385,0.666667,0.0,75.45315,0.989905,0.05424,0.0,0.975046,0.981835,0.05424,6.745318583333332,k4_dynamic_sink1_af_quality
